Filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metrices_all_last_trans.csv,7.692307692307692735e-01,9.230769230769231282e-01,8.076923076923077094e-01,9.230769230769231282e-01,7.692307692307692735e-01,8.846153846153845812e-01,9.230769230769231282e-01,7.692307692307692735e-01,8.846153846153845812e-01,8.846153846153845812e-01
metrices_all_last_incep_pre_baseline.csv,9.230769230769231282e-01,8.461538461538461453e-01,9.615384615384615641e-01,1.000000000000000000e+00,9.230769230769231282e-01,9.615384615384615641e-01,1.000000000000000000e+00,8.461538461538461453e-01,9.230769230769231282e-01,9.615384615384615641e-01
metrices_all_last_incep_pre.csv,8.846153846153845812e-01,9.230769230769231282e-01,9.230769230769231282e-01,1.000000000000000000e+00,8.076923076923077094e-01,9.615384615384615641e-01,9.230769230769231282e-01,9.230769230769231282e-01,8.846153846153845812e-01,9.230769230769231282e-01
metrices_all_last_trans_baseline.csv,7.692307692307692735e-01,8.846153846153845812e-01,9.230769230769231282e-01,8.461538461538461453e-01,8.461538461538461453e-01,9.230769230769231282e-01,9.230769230769231282e-01,8.846153846153845812e-01,8.846153846153845812e-01,8.846153846153845812e-01
metrices_all_last_FC_baseline.csv,9.230769230769231282e-01,8.461538461538461453e-01,9.230769230769231282e-01,1.000000000000000000e+00,8.846153846153845812e-01,9.230769230769231282e-01,9.615384615384615641e-01,8.846153846153845812e-01,9.230769230769231282e-01,1.000000000000000000e+00
metrices_all_last_incep.csv,4.615384615384615641e-01,9.230769230769231282e-01,3.846153846153846367e-01,8.076923076923077094e-01,8.461538461538461453e-01,9.230769230769231282e-01,6.923076923076922906e-01,4.615384615384615641e-01,5.769230769230768718e-01,3.846153846153846367e-01
metrices_all_last_incep_baseline.csv,3.076923076923077094e-01,8.846153846153845812e-01,9.230769230769231282e-01,3.076923076923077094e-01,4.615384615384615641e-01,7.307692307692307265e-01,2.307692307692307820e-01,2.307692307692307820e-01,8.461538461538461453e-01,6.923076923076922906e-01
metrices_all_last_res.csv,3.076923076923077094e-01,3.076923076923077094e-01,3.076923076923077094e-01,3.076923076923077094e-01,3.076923076923077094e-01,3.076923076923077094e-01,3.076923076923077094e-01,9.230769230769231282e-01,3.076923076923077094e-01,3.076923076923077094e-01,3.076923076923077094e-01,3.076923076923077094e-01,3.076923076923077094e-01,3.076923076923077094e-01,3.076923076923077094e-01,3.076923076923077094e-01,3.076923076923077094e-01,9.230769230769231282e-01,3.076923076923077094e-01,3.076923076923077094e-01
metrices_all_last_trans_pre.csv,8.846153846153845812e-01,8.846153846153845812e-01,9.230769230769231282e-01,1.000000000000000000e+00,8.846153846153845812e-01,8.846153846153845812e-01,9.615384615384615641e-01,9.230769230769231282e-01,8.461538461538461453e-01,1.000000000000000000e+00
metrices_all_last_res_baseline.csv,7.692307692307692735e-01,3.076923076923077094e-01,3.076923076923077094e-01,3.076923076923077094e-01,3.076923076923077094e-01,3.076923076923077094e-01,3.076923076923077094e-01,3.076923076923077094e-01,2.307692307692307820e-01,1.538461538461538547e-01
metrices_all_last_trans_pre_baseline.csv,1.000000000000000000e+00,8.846153846153845812e-01,9.230769230769231282e-01,1.000000000000000000e+00,8.461538461538461453e-01,9.230769230769231282e-01,9.230769230769231282e-01,8.846153846153845812e-01,9.230769230769231282e-01,1.000000000000000000e+00
metrices_all_last_FC.csv,8.846153846153845812e-01,9.230769230769231282e-01,9.615384615384615641e-01,9.615384615384615641e-01,8.846153846153845812e-01,9.615384615384615641e-01,9.230769230769231282e-01,9.230769230769231282e-01,8.846153846153845812e-01,8.846153846153845812e-01
